method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Inverse variance weighted,3,-0.00865905265279212,0.0818584699488953,0.915756287992791,ACP5,ENSG00000102575,BBJ_Graves,0.99137832896934,0.844423060250091,1.16390827941027,-0.0796441764222856,0.455735511900094,3.3596428337286,0.186407262260554,,,4,3,0,1,log_odds,log_odds,FALSE
MR Egger,3,0.198247548318617,0.195343246483783,0.495302475462759,ACP5,ENSG00000102575,BBJ_Graves,1.21926418326488,0.831415827823406,1.78804047125783,-0.0796441764222856,0.455735511900094,3.3596428337286,0.186407262260554,,,4,3,0,1,log_odds,log_odds,FALSE
Weighted median,3,-0.00400990508673531,0.0665192482015912,0.951931136368712,ACP5,ENSG00000102575,BBJ_Graves,0.995998123847327,0.874251111589297,1.13469945826437,-0.0796441764222856,0.455735511900094,3.3596428337286,0.186407262260554,,,4,3,0,1,log_odds,log_odds,FALSE
Weighted mode,3,0.00239522534059145,0.191182942179658,0.991141397843555,ACP5,ENSG00000102575,BBJ_Graves,1.00239809618446,0.689131381837521,1.45807021667623,-0.0796441764222856,0.455735511900094,3.3596428337286,0.186407262260554,,,4,3,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,2,-0.0338529995611049,0.151111701990409,0.822736817840991,ACP6,ENSG00000162836,BBJ_Graves,0.966713601516808,0.718900774636738,1.29995017438926,,,4.12005986565288,0.0423775787197605,,,3,2,1,1,log_odds,log_odds,FALSE
Inverse variance weighted,3,0.0146021826847121,0.0309071813472598,0.636603663334461,ACPP,ENSG00000014257,BBJ_Graves,1.01470931537618,0.955064985897925,1.0780784657739,0.125284030792686,0.298249059686208,4.19944234607038,0.122490577167791,,,11,3,0,8,log_odds,log_odds,FALSE
MR Egger,3,-0.0907553538051473,0.0574259241803328,0.359153295742814,ACPP,ENSG00000014257,BBJ_Graves,0.913241104533157,0.81602509958267,1.02203880179111,0.125284030792686,0.298249059686208,4.19944234607038,0.122490577167791,,,11,3,0,8,log_odds,log_odds,FALSE
Weighted median,3,0.0112517131119505,0.0239396096789133,0.638352135758157,ACPP,ENSG00000014257,BBJ_Graves,1.01131525171837,0.964958752713524,1.05989871119582,0.125284030792686,0.298249059686208,4.19944234607038,0.122490577167791,,,11,3,0,8,log_odds,log_odds,FALSE
Weighted mode,3,-0.00801580684807326,0.0705233821306404,0.919887374589301,ACPP,ENSG00000014257,BBJ_Graves,0.992016234063231,0.863948916951989,1.13906758760331,0.125284030792686,0.298249059686208,4.19944234607038,0.122490577167791,,,11,3,0,8,log_odds,log_odds,FALSE
Wald ratio,1,0.0210031472650992,0.346857162296188,0.951715422303382,ACRBP,ENSG00000111644,BBJ_Graves,1.02122526569911,0.517452838755317,2.01545139033503,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
