gene_symbol,outcome,method,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed
ADAMTS13,FinnGen_GO,Wald ratio,1,1,0,0
ADAMTS17,BBJ_Graves,Inverse variance weighted,5,4,1,1
ADAMTS17,BBJ_Graves,MR Egger,5,4,1,1
ADAMTS17,BBJ_Graves,Weighted median,5,4,1,1
ADAMTS17,BBJ_Graves,Weighted mode,5,4,1,1
ADAMTS17,UKB_hyperthyroid,Inverse variance weighted,5,5,1,0
ADAMTS17,UKB_hyperthyroid,MR Egger,5,5,1,0
ADAMTS17,UKB_hyperthyroid,Weighted median,5,5,1,0
ADAMTS17,UKB_hyperthyroid,Weighted mode,5,5,1,0
ADAMTS17,FinnGen_GO,Inverse variance weighted,5,5,1,0
ADAMTS17,FinnGen_GO,MR Egger,5,5,1,0
ADAMTS17,FinnGen_GO,Weighted median,5,5,1,0
ADAMTS17,FinnGen_GO,Weighted mode,5,5,1,0
ADAMTS2,BBJ_Graves,Wald ratio,1,1,0,0
ADAMTS2,UKB_hyperthyroid,Wald ratio,1,1,0,0
ADAMTS2,FinnGen_GO,Wald ratio,1,1,0,0
ADAMTS4,FinnGen_GO,Wald ratio,1,1,0,0
ADAMTS5,BBJ_Graves,Inverse variance weighted,3,3,1,0
ADAMTS5,BBJ_Graves,MR Egger,3,3,1,0
ADAMTS5,BBJ_Graves,Weighted median,3,3,1,0
ADAMTS5,BBJ_Graves,Weighted mode,3,3,1,0
ADAMTS5,UKB_hyperthyroid,Inverse variance weighted,3,3,1,0
ADAMTS5,UKB_hyperthyroid,MR Egger,3,3,1,0
ADAMTS5,UKB_hyperthyroid,Weighted median,3,3,1,0
ADAMTS5,UKB_hyperthyroid,Weighted mode,3,3,1,0
ADAMTS5,FinnGen_GO,Inverse variance weighted,3,3,1,0
ADAMTS5,FinnGen_GO,MR Egger,3,3,1,0
ADAMTS5,FinnGen_GO,Weighted median,3,3,1,0
ADAMTS5,FinnGen_GO,Weighted mode,3,3,1,0
ADAMTS6,BBJ_Graves,Wald ratio,1,1,0,0
